Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","1uF","C_0805_2012Metric",154.5336,-111.9886,0.0000,bottom
"C2","10uF","C_0805_2012Metric",144.8499,-107.5436,-90.0000,bottom
"C3","100nF","C_0805_2012Metric",146.9136,-107.5436,-90.0000,bottom
"C4","4u7","C_0805_2012Metric",152.4698,-100.2411,90.0000,bottom
"D1","ZELENA","1206_2",137.7061,-114.8236,-90.0000,bottom
"D2","CERVENA","1206_2",137.7061,-104.8236,-90.0000,bottom
"D3","CERVENA","1206_2",137.7061,-109.8236,-90.0000,bottom
"D4","SP1001-04XTG","SOT553",151.8348,-109.4486,180.0000,bottom
"P1","750mA","1812",148.5011,-117.2274,-90.0000,bottom
"R1","470R","0805",142.1511,-111.8298,0.0000,bottom
"R3","470R","0805",142.1511,-109.9248,180.0000,bottom
"R4","470R","0805",142.1511,-108.1786,180.0000,bottom
"R5","4k7","0805",147.7073,-99.1298,90.0000,bottom
"SV1","MA02-1","MA02-1",145.3261,-99.6061,90.0000,top
"SV2","MA05-2","MA05-2",158.6611,-110.0836,90.0000,top
"SV3","MA03-1","MA03-1",144.3736,-104.6861,180.0000,top
"SV4","MA03-2","MA03-2",158.6611,-98.1773,90.0000,top
"SV5","MA05-2","MA05-2",148.5011,-89.7636,180.0000,top
"SV6","MA03-2","MA03-2",138.3411,-97.3836,90.0000,top
"SV7","MA01-1","MA01-1",153.1048,-95.7961,0.0000,top
"X1","CP2112","QFN-24",151.6761,-105.6386,90.0000,bottom
"X2","USB_B","USB_B",148.5011,-115.1636,0.0000,top
"X3","SROUB3M","SROUB3M",138.3411,-120.2436,0.0000,top
"X4","SROUB3M","SROUB3M",138.3411,-89.7636,0.0000,top
"X5","SROUB3M","SROUB3M",158.6611,-120.2436,0.0000,top
"X6","SROUB3M","SROUB3M",158.6611,-89.7636,0.0000,top
