Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"SV1","MA02-1","MA02-1",145.3261,-99.6061,90.0000,top
"SV2","MA05-2","MA05-2",158.6611,-110.0836,90.0000,top
"SV3","MA03-1","MA03-1",144.3736,-104.6861,180.0000,top
"SV4","MA03-2","MA03-2",158.6611,-98.1773,90.0000,top
"SV5","MA05-2","MA05-2",148.5011,-89.7636,180.0000,top
"SV6","MA03-2","MA03-2",138.3411,-97.3836,90.0000,top
"SV7","MA01-1","MA01-1",153.1048,-95.7961,0.0000,top
"X2","USB_B","USB_B",148.5011,-115.1636,0.0000,top
"X3","SROUB3M","SROUB3M",138.3411,-120.2436,0.0000,top
"X4","SROUB3M","SROUB3M",138.3411,-89.7636,0.0000,top
"X5","SROUB3M","SROUB3M",158.6611,-120.2436,0.0000,top
"X6","SROUB3M","SROUB3M",158.6611,-89.7636,0.0000,top
